,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,has_den,last_update,is_active,activation_date
49,335419,Calgary,Altadore,51.0237931,-114.1025267,/ab/calgary/rentals/duplex/1-bedroom/altadore/short-term/335419,Duplex,2200,1,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
50,449557,Calgary,Altadore,51.0168322,-114.1007796,/ab/calgary/rentals/main-floor/2-bedrooms/altadore/non-smoking/449557,Main Floor,2200,2,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
51,550213,Calgary,Altadore,51.0088633,-114.1125497,/ab/calgary/rentals/house/5-bedrooms/altadore/furnished/550213,House,5000,5,,3.5,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
52,551145,Calgary,Altadore,51.0247101,-114.1105712,/ab/calgary/rentals/duplex/4-bedrooms/altadore/pet-friendly/551145,Duplex,4000,4,,3.5,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
53,532563,Calgary,Altadore,51.0137811,-114.114146,/ab/calgary/rentals/house/3-bedrooms/altadore/furnished/532563,House,990,3,,2.5,False,False,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
54,548587,Calgary,Altadore,51.0158463,-114.1037049,/ab/calgary/rentals/house/4-bedrooms/altadore/pet-friendly/548587,House,5100,4,,3.5,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
55,490268,Calgary,Altadore,51.0218231,-114.1022389,/ab/calgary/rentals/townhouse/3-bedrooms/altadore/pet-friendly/490268,Townhouse,6900,3,,4.0,False,True,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
56,550050,Calgary,Altadore,51.0204255,-114.1051109,/ab/calgary/rentals/house/3-bedrooms/altadore/pet-friendly/550050,House,3500,3,,2.5,True,True,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
57,131325,Calgary,Altadore,51.01635,-114.0985,/ab/calgary/rentals/duplex/4-bedrooms/altadore/pet-friendly/131325,Duplex,5500,4,,3.5,False,True,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
58,543639,Calgary,Ambleton,51.1861093,-114.1123928,/ab/calgary/rentals/main-floor/3-bedrooms/ambleton/non-smoking/543639,Main Floor,2300,3,,2.5,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
59,552312,Calgary,Ambleton,51.1847914,-114.1124794,/ab/calgary/rentals/basement/2-bedrooms/ambleton/non-smoking/552312,Basement,1700,2,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
60,543642,Calgary,Ambleton,51.1861093,-114.1123928,/ab/calgary/rentals/basement/2-bedrooms/ambleton/non-smoking/543642,Basement,1500,2,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
61,539723,Calgary,Ambleton,51.1845291,-114.1111793,/ab/calgary/rentals/townhouse/3-bedrooms/ambleton/pet-friendly/539723,Townhouse,2350,3,,2.5,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
