,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs
144,559028,Calgary,Auburn Bay,50.896586,-113.9592764,/ab/calgary/rentals/house/3-bedrooms/auburn-bay/non-smoking/559028,House,2900,3,,3.5,0.0,0.0
145,359092,Calgary,Banff Trail,51.073635225716,-114.113945328077,/ab/calgary/rentals/basement/1-bedroom/banff-trail/furnished/359092,Basement,1500,1,900,1,0.0,0.0
146,445244,Calgary,Banff Trail,51.078734708075,-114.120540430688,/ab/calgary/rentals/duplex/3-bedrooms/banff-trail/short-term/445244,Duplex,2500,3,,2.5,0.0,0.0
147,514093,Calgary,Banff Trail,51.0752712,-114.1067647,/ab/calgary/rentals/shared/1-bedroom/banff-trail/furnished/514093,Room For Rent,800,1,1023,1,0.0,0.0
148,479474,Calgary,Banff Trail,51.0720602,-114.1063377,/ab/calgary/rentals/townhouse/2-bedrooms/banff-trail/pet-friendly/479474,Townhouse,2500,2,1160,2.5,2.0,2.0
149,465485,Calgary,Banff Trail,51.079489,-114.120645,/ab/calgary/rentals/basement/2-bedrooms/banff-trail/furnished/465485,Basement,650,2,850,1,0.0,0.0
150,511929,Calgary,Banff Trail,51.0765226,-114.1104931,/ab/calgary/rentals/main-floor/3-bedrooms/banff-trail/pet-friendly/511929,Main Floor,2100,3,,1,2.0,0.0
151,28226,Calgary,Banff Trail,51.0742787,-114.1129848,/ab/calgary/rentals/shared/1-bedroom/banff-trail/furnished/28226,Room For Rent,675,1,,1,0.0,0.0
152,525773,Calgary,Banff Trail,51.076686,-114.1109322,/ab/calgary/rentals/main-floor/3-bedrooms/banff-trail/non-smoking/525773,Main Floor,1995,3,800,1,0.0,0.0
153,556569,Calgary,Banff Trail,51.0808019,-114.1216557,/ab/calgary/rentals/basement/1-bedroom/banff-trail/furnished/556569,Basement,800,1,,1,0.0,0.0
